,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
attFT[1],-0.0019,0.0797,0.0015,0.0021,-0.1612,-0.0514,-0.0012,0.0485,0.1590,,,,,,,,,,,
attFT[2],-0.0004,0.0689,0.0013,0.0044,-0.1422,-0.0444,-0.0005,0.0445,0.1313,,,,,,,,,,,
attFT[3],-0.0176,0.0678,0.0012,0.0040,-0.1543,-0.0613,-0.0158,0.0258,0.1171,,,,,,,,,,,
attFT[4],0.0088,0.0691,0.0013,0.0042,-0.1252,-0.0362,0.0069,0.0533,0.1566,,,,,,,,,,,
attFT[5],-0.0056,0.0704,0.0013,0.0042,-0.1495,-0.0500,-0.0061,0.0402,0.1376,,,,,,,,,,,
attFT[6],-0.0113,0.0703,0.0013,0.0042,-0.1684,-0.0526,-0.0106,0.0343,0.1196,,,,,,,,,,,
attFT[7],0.0413,0.0710,0.0013,0.0056,-0.0832,-0.0065,0.0374,0.0825,0.2003,,,,,,,,,,,
attFT[8],-0.0378,0.0706,0.0013,0.0043,-0.1833,-0.0848,-0.0356,0.0120,0.0928,,,,,,,,,,,
attFT[9],0.0368,0.0703,0.0013,0.0048,-0.0902,-0.0096,0.0320,0.0807,0.1820,,,,,,,,,,,
attFT[10],-0.0007,0.0719,0.0013,0.0044,-0.1437,-0.0457,-0.0030,0.0458,0.1431,,,,,,,,,,,
attFT[11],0.0029,0.0670,0.0012,0.0036,-0.1368,-0.0400,0.0024,0.0466,0.1357,,,,,,,,,,,
attFT[12],-0.0295,0.0730,0.0013,0.0045,-0.1776,-0.0743,-0.0269,0.0183,0.1059,,,,,,,,,,,
attFT[13],0.0064,0.0688,0.0013,0.0042,-0.1305,-0.0374,0.0066,0.0512,0.1364,,,,,,,,,,,
attFT[14],0.0046,0.0704,0.0013,0.0043,-0.1411,-0.0389,0.0059,0.0492,0.1463,,,,,,,,,,,
attFT[15],-0.0203,0.0689,0.0013,0.0042,-0.1585,-0.0652,-0.0184,0.0275,0.1054,,,,,,,,,,,
attFT[16],0.0095,0.0743,0.0014,0.0048,-0.1413,-0.0370,0.0104,0.0565,0.1586,,,,,,,,,,,
attFT[17],-0.0030,0.0707,0.0013,0.0043,-0.1515,-0.0475,-0.0002,0.0429,0.1308,,,,,,,,,,,
attFT[18],-0.0006,0.0682,0.0012,0.0043,-0.1349,-0.0450,-0.0024,0.0424,0.1389,,,,,,,,,,,
attFT[19],-0.0135,0.0665,0.0012,0.0040,-0.1448,-0.0563,-0.0144,0.0332,0.1150,,,,,,,,,,,
attFT[20],-0.0037,0.0716,0.0013,0.0045,-0.1368,-0.0526,-0.0063,0.0433,0.1421,,,,,,,,,,,
attFT[21],0.0083,0.0694,0.0013,0.0043,-0.1250,-0.0373,0.0060,0.0541,0.1462,,,,,,,,,,,
