,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
att[1],0.0257,0.1095,0.0020,0.0070,-0.2108,-0.0274,0.0292,0.0856,0.2390,,,,,,,,,,,
att[2],0.0679,0.1656,0.0030,0.0262,-0.2765,-0.0197,0.0659,0.1508,0.4358,,,,,,,,,,,
att[3],-0.0236,0.1017,0.0019,0.0074,-0.2656,-0.0715,-0.0201,0.0280,0.1769,,,,,,,,,,,
att[4],0.0061,0.1032,0.0019,0.0070,-0.2138,-0.0463,0.0098,0.0595,0.2140,,,,,,,,,,,
att[5],0.0866,0.1934,0.0035,0.0338,-0.2988,-0.0267,0.0820,0.1849,0.5180,,,,,,,,,,,
att[6],0.0309,0.1099,0.0020,0.0068,-0.1820,-0.0267,0.0299,0.0852,0.2682,,,,,,,,,,,
att[7],0.0526,0.1251,0.0023,0.0128,-0.2129,-0.0111,0.0521,0.1165,0.3184,,,,,,,,,,,
att[8],-0.0143,0.1112,0.0020,0.0071,-0.2357,-0.0707,-0.0164,0.0356,0.2387,,,,,,,,,,,
att[9],-0.0354,0.1384,0.0025,0.0182,-0.3449,-0.1053,-0.0321,0.0391,0.2431,,,,,,,,,,,
att[10],0.0442,0.1189,0.0022,0.0125,-0.1906,-0.0229,0.0409,0.1070,0.3003,,,,,,,,,,,
att[11],-0.0111,0.1063,0.0019,0.0077,-0.2220,-0.0653,-0.0074,0.0441,0.1963,,,,,,,,,,,
att[12],-0.0750,0.1578,0.0029,0.0187,-0.4359,-0.1595,-0.0677,0.0114,0.2425,,,,,,,,,,,
att[13],0.0737,0.1868,0.0034,0.0333,-0.3013,-0.0208,0.0723,0.1675,0.4880,,,,,,,,,,,
att[14],-0.0463,0.1451,0.0026,0.0202,-0.3711,-0.1133,-0.0417,0.0280,0.2475,,,,,,,,,,,
att[15],0.0231,0.1001,0.0018,0.0055,-0.1517,-0.0282,0.0155,0.0684,0.2420,,,,,,,,,,,
