,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
att[1],0.2204,0.3804,0.0069,0.0207,-0.5435,-0.0335,0.2088,0.4763,0.9633,,,,,,,,,,,
att[2],0.7651,0.4986,0.0091,0.0714,-0.2305,0.3994,0.8259,1.1327,1.6349,,,,,,,,,,,
att[3],-0.2147,0.3550,0.0065,0.0218,-0.9199,-0.4492,-0.2207,0.0252,0.4749,,,,,,,,,,,
att[4],-0.0119,0.3258,0.0059,0.0145,-0.6531,-0.2228,-0.0070,0.1921,0.6472,,,,,,,,,,,
att[5],0.9489,0.5594,0.0102,0.0740,-0.1299,0.5494,1.0191,1.3797,1.8838,,,,,,,,,,,
att[6],0.3061,0.3967,0.0072,0.0223,-0.4247,0.0467,0.3002,0.5531,1.0898,,,,,,,,,,,
att[7],0.4673,0.4218,0.0077,0.0391,-0.3413,0.1585,0.4844,0.7638,1.2679,,,,,,,,,,,
att[8],-0.0700,0.3314,0.0061,0.0161,-0.7320,-0.2730,-0.0757,0.1386,0.6025,,,,,,,,,,,
att[9],-0.4369,0.4137,0.0076,0.0343,-1.2166,-0.7195,-0.4496,-0.1494,0.3663,,,,,,,,,,,
att[10],0.4126,0.4023,0.0073,0.0277,-0.3340,0.1181,0.4220,0.6991,1.1688,,,,,,,,,,,
att[11],-0.1367,0.3432,0.0063,0.0155,-0.8291,-0.3486,-0.1244,0.0837,0.5256,,,,,,,,,,,
att[12],-0.8115,0.5257,0.0096,0.0614,-1.7025,-1.2082,-0.8783,-0.3935,0.1743,,,,,,,,,,,
att[13],0.9121,0.5733,0.0105,0.0667,-0.1859,0.4983,0.9795,1.3335,1.9044,,,,,,,,,,,
att[14],-0.6025,0.4451,0.0081,0.0465,-1.4129,-0.9329,-0.6403,-0.2768,0.2428,,,,,,,,,,,
att[15],0.0752,0.3492,0.0064,0.0178,-0.6162,-0.1414,0.0643,0.2906,0.7883,,,,,,,,,,,
att[16],-0.2639,0.3716,0.0068,0.0217,-1.0698,-0.4845,-0.2583,-0.0191,0.4428,,,,,,,,,,,
att[17],-0.6182,0.4605,0.0084,0.0499,-1.4523,-0.9429,-0.6616,-0.2664,0.2675,,,,,,,,,,,
att[18],-0.2406,0.3717,0.0068,0.0205,-0.9751,-0.4770,-0.2399,-0.0112,0.5151,,,,,,,,,,,
att[19],0.3060,0.3608,0.0066,0.0191,-0.3892,0.0582,0.3018,0.5385,1.0515,,,,,,,,,,,
att[20],-0.3144,0.3616,0.0066,0.0205,-1.0437,-0.5477,-0.3130,-0.0814,0.3893,,,,,,,,,,,
att[21],-0.6536,0.4650,0.0085,0.0409,-1.4957,-0.9879,-0.6925,-0.3157,0.2323,,,,,,,,,,,
att[22],0.6378,0.4571,0.0083,0.0461,-0.2242,0.3026,0.6700,0.9747,1.4603,,,,,,,,,,,
att[23],-0.0215,0.3078,0.0056,0.0128,-0.6575,-0.2105,-0.0128,0.1790,0.5886,,,,,,,,,,,
att[24],0.1173,0.3420,0.0062,0.0161,-0.5962,-0.0952,0.1202,0.3414,0.7827,,,,,,,,,,,
att[25],0.4669,0.3936,0.0072,0.0272,-0.2995,0.1991,0.4817,0.7400,1.2196,,,,,,,,,,,
att[26],-0.9057,0.5746,0.0105,0.0842,-1.8812,-1.3471,-0.9717,-0.4483,0.1389,,,,,,,,,,,
att[27],0.4300,0.4118,0.0075,0.0294,-0.3709,0.1328,0.4411,0.7229,1.2006,,,,,,,,,,,
att[28],-0.2411,0.3750,0.0068,0.0208,-1.0191,-0.4799,-0.2410,0.0047,0.4804,,,,,,,,,,,
att[29],0.2354,0.3486,0.0064,0.0180,-0.4144,-0.0127,0.2297,0.4725,0.9376,,,,,,,,,,,
att[30],-0.7580,0.5102,0.0093,0.0690,-1.6304,-1.1410,-0.8142,-0.3812,0.2339,,,,,,,,,,,
def[1],-0.1109,0.3553,0.0065,0.0207,-0.9117,-0.3076,-0.0864,0.1027,0.5684,,,,,,,,,,,
def[2],-0.4297,0.4890,0.0089,0.0852,-1.5343,-0.7291,-0.3101,-0.0562,0.2661,,,,,,,,,,,
